"Techstack","Links"
"React, Node.js, MongoDB, Redux, Express.js","https://github.com/react-portfolio"
"Angular, .NET, SQL Server, RxJS, Entity Framework","https://github.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL, Vuex, Redis","https://github.com/vue-portfolio"
"Python, Django, MySQL, Flask, Celery","https://github.com/python-portfolio"
"Java, Spring Boot, Oracle, Hibernate, Kafka","https://github.com/java-portfolio"
"Flutter, Firebase, GraphQL, Dart, Cloud Functions","https://github.com/flutter-portfolio"
"WordPress, PHP, MySQL, WooCommerce, Elementor","https://github.com/wordpress-portfolio"
"Magento, PHP, MySQL, Zend Framework, Elasticsearch","https://github.com/magento-portfolio"
"React Native, Node.js, MongoDB, Redux, Firebase","https://github.com/react-native-portfolio"
"iOS, Swift, Core Data, UIKit, SwiftUI","https://github.com/ios-portfolio"
"Android, Java, Room Persistence, Retrofit, Dagger","https://github.com/android-portfolio"
"Kotlin, Android, Firebase, Coroutines, Koin","https://github.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK, ExoPlayer, OpenGL","https://github.com/android-tv-portfolio"
"iOS, Swift, ARKit, SceneKit, CoreML","https://github.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure, C#, Visual Studio App Center","https://github.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot, Microservices, AWS","https://github.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular, NgRx, Bootstrap","https://github.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js, Node.js, React","https://github.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow, Keras, Scikit-learn","https://github.com/ml-python-portfolio"
"DevOps, Jenkins, Docker, Kubernetes, Ansible","https://github.com/devops-portfolio"